1347 PPTY INS HLDGS INC PIH
1-800 FLOWERS COM FLWS
1ST CENTURY BANCSHARES FCTY
1ST CONSTITUTION BANCOR FCCY
22ND CENTY GROUP INC XXII
6D GLOBAL TECHNOLOGIES SIXD
8X8 INC NEW EGHT
A H BELO CORP AHC
A MARK PRECIOUS METALS AMRK
A V HOMES INC AVHI
A10 NETWORKS INC ATEN
AAC HOLDINGS INC AAC
ABEONA THERAPEUTICS INC ABEO
ABRAXAS PETE CORP AXAS
ACACIA RESEARCH CORP ACTG
ACCESS NATL CORP ANCX
ACCURAY INC ARAY
ACCURIDE CORP ACW
ACELRX PHARMACEUTICALS ACRX
ACETO CORP ACET
ACHAOGEN INC AKAO
ACME UTD CORP ACU
ACNB CORP ACNB
ACTINIUM PHARMACEUTICAL ATNM
ACTIVE POWER INC ACPW
ACTUA CORPORATION ACTA
ADAMAS PHARMACEUTICALS ADMS
ADAMIS PHARMACEUTICALS ADMP
ADAMS RESOURCES & ENERG AE
ADCARE HEALTH SYSTEMS ADK
ADDUS HOMECARE CORP ADUS
ADEPT TECHNOLOGY INC ADEP
ADMA BIOLOGICS INC ADMA
ADVAXIS INC ADXS
AEGERION PHARM INC AEGR
AEHR TEST SYSTEMS AEHR
AEMETIS INC AMTX
AEP INDUSTRIES INC AEPI
AERIE PHARMACEUTICALS AERI
AEROHIVE NETWORKS INC HIVE
AEROPOSTALE INC ARO
AEROVIRONMENT INC AVAV
AFFIMED NV AFMD
AFFYMETRIX INC AFFX
AG MORTGAGE INVT TR INC MITT
AGENUS INC AGEN
AGILE THERAPEUTICS INC AGRX
AGILYSYS INC AGYS
AGREE REALTY CORP ADC
AIR INDS GROUP INC AIRI
AIR T INC AIRT
AIR TRANSPORT SERVICES ATSG
AKEBIA THERAPEUTICS INC AKBA
ALAMO GROUP INC ALG
ALASKA COMMUNICATIONS ALSK
ALBANY MOLECULAR RESRCH AMRI
ALDEYRA THERAPEUTICS IN ALDX
ALICO INC ALCO
ALIMERA SCIENCES INC ALIM
ALLIANCE BANCORP OF PEN ALLB
ALLIANCE FIBER OPTIC AFOP
ALLIANCE HEALTHCARE SVC AIQ
ALLIANCE ONE INTL INC AOI
ALLIED MOTION TECH AMOT
ALLIQUA BIOMEDICAL INC ALQA
ALMOST FAMILY INC AFAM
ALPHA & OMEGA SEMICON AOSL
ALPHA PRO TECH LTD APT
ALPHATEC HOLDINGS ATEC
ALTEVA ALTV
ALTISOURCE ASSET MGMT AAMC
ALTISOURCE PORTFOLIO ASPS
AMBASSADORS GROUP INC EPAX
AMBER RD INC AMBR
AMCON DISTRG CO DIT
AMER PUBLIC EDUCATION APEI
AMERESCO INC AMRC
AMERIANA BANCORP ASBI
AMERICAN ELECTRIC TECH AETI
AMERICAN INDEPENDENCE AMIC
AMERICAN NATL BANKSHARE AMNB
AMERICAN RESIDENTIAL PP ARPI
AMERICAN RIVER BANKSHAR AMRB
AMERICAN RLTY INVS INC ARL
AMERICAN SCIENCE & ENGR ASEI
AMERICAN SOFTWARE INC AMSWA
AMERICAN SUPERCONDUCTOR AMSC
AMERICAN VANGUARD CORP AVD
AMERICAN WOODMARK CORP AMWD
AMERICAS CAR-MART INC CRMT
AMERIS BANCORP ABCB
AMERISAFE INC AMSF
AMERISERV FINANCIAL INC ASRV
AMES NATL CORP ATLO
AMPCO-PITTSBURGH CORP AP
AMPHASTAR PHARMA INC AMPH
AMPIO PHARMACEUTICALS AMPE
AMREP CORP AXR
AMTECH SYSTEMS INC ASYS
AMYRIS INC AMRS
ANCHOR BANCORP WISCONSI ABCW
ANGIES LIST INC ANGI
ANGIODYNAMICS INC ANGO
ANI PHARMACEUTICALS INC ANIP
ANIKA THERAPEUTICS INC ANIK
ANTARES PHARMA INC ATRS
ANTHERA PHARMACEUTICALS ANTH
ANWORTH MORTGAGE ASSET ANH
AOXING PHARMACEUTICAL C AXN
API TECHNOLOGIES CORP ATNY
APIGEE CORP APIC
APOLLO COMMERCIAL RE ARI
APOLLO RESIDENTIAL MTG AMTG
APPLIED DNA SCIENCES IN APDN
APPLIED GENETIC TECH AGTC
APPLIED MICRO CIRCUITS AMCC
APPLIED OPTOELECTRONICS AAOI
APPROACH RESOURCES INC AREX
APRICUS BIOSCIENCES INC APRI
ARADIGM CORP ARDM
ARATANA THERAPEUTICS IN PETX
ARC DOCUMENT SOLUTIONS ARC
ARC GROUP WORLDWIDE INC ARCW
ARCADIA BIOSCIENCES INC RKDA
ARCTIC CAT INC ACAT
ARDELYX INC ARDX
ARDMORE SHIPPING CORP ASC
ARES COML REAL ESTATE ACRE
ARGAN INC AGX
ARGOS THERAPEUTICS ARGS
ARI NETWORK SERVICES ARIS
ARK RESTAURANTS CORP ARKR
ARLINGTON ASSET INVT AI
ARMADA HOFFLER PPTYS IN AHH
AROTECH CORP ARTX
ARQULE INC ARQL
ARROW FINANCIAL CORP AROW
ARROWHEAD RESH CORP ARWR
ARTESIAN RESOURCES CORP ARTNA
ASB BANCORP INC NC ASBB
ASCENT CAPITAL GROUP IN ASCMA
ASHFORD HOSP PRIME AHP
ASHFORD INC AINC
ASPEN AEROGELS INC ASPN
ASSEMBLY BIOSCIENCES IN ASMB
ASTA FDG INC ASFI
ASTERIAS BIOTHERAPEUTIC AST
ASTRO-MED INC ALOT
ASTROTECH CORP ASTC
ASURE SOFTWARE INC ASUR
ATHERSYS INC ATHX
ATLANTIC AMERN CORP AAME
ATLANTIC COAST FINANCIA ACFC
ATLANTIC PWR CORP AT
ATLANTICUS HOLDINGS ATLC
ATLAS FINANCIAL HOLDING AFH
ATOSSA GENETICS INC ATOS
ATRICURE INC ATRC
ATRION CORP ATRI
ATYR PHARMA INC LIFE
AUBURN NATL BANCORP AUBN
AUDIENCE INC ADNC
AUTOBYTEL INC ABTL
AVALANCHE BIOTECH INC AAVL
AVENUE FINANCIAL HLDGS AVNU
AVEO PHARMACEUTICALS IN AVEO
AVIAT NETWORKS INC AVNW
AVID TECHNOLOGY INC AVID
AVINGER INC AVGR
AWARE INC AWRE
AXCELIS TECHNOLOGIES IN ACLS
AXOGEN INC AXGN
AXT INC AXTI
BALDWIN & LYONS INC BWINB
BALLANTYNE STRONG INC BTN
BALTIC TRADING LIMITED BALT
BANC OF CALIFORNIA INC BANC
BANCORP INC TBBK
BANCORP NEW JERSEY INC BKJ
BANK COMM HLDGS BOCH
BANK MUTUAL CORP BKMU
BANK OF MARIN BANCORP BMRC
BANK OF THE ST JAMES FI BOTJ
BANK SOUTH CAROLINA COR BKSC
BANKFINANCIAL CORP BFIN
BANKWELL FINL GROUP INC BWFG
BANNER CORP BANR
BAR HBR BANKSHARES BHB
BARRETT BUSINESS SERVIC BBSI
BASIC ENERGY SERVICES BAS
BASSETT FURNITURE INDS BSET
BAY BANCORP INC BYBK
BAYLAKE CORP BYLK
BAZAARVOICE INC BV
BBX CAPITAL CORPORATION BBX
BCB BANCORP INC BCBP
BEAR STATE FINL INC BSF
BEASLEY BROADCAST GROUP BBGI
BEAZER HOMES USA INC BZH
