Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,3.14,3.14,3.06,3.10,111500,3.10
2009-12-30,3.12,3.15,3.06,3.15,121300,3.15
2009-12-29,3.04,3.16,2.94,3.15,293800,3.15
2009-12-28,3.14,3.20,2.99,3.04,406300,3.04
2009-12-24,3.13,3.20,3.08,3.11,132300,3.11
2009-12-23,3.12,3.13,3.07,3.10,101000,3.10
2009-12-22,3.10,3.15,3.06,3.08,165200,3.08
2009-12-21,3.21,3.21,2.99,3.11,216000,3.11
2009-12-18,3.06,3.19,3.00,3.19,473400,3.19
2009-12-17,3.13,3.18,3.08,3.12,246100,3.12
2009-12-16,3.05,3.18,2.91,3.17,286400,3.17
2009-12-15,2.89,3.08,2.88,3.04,472300,3.04
2009-12-14,2.89,2.98,2.84,2.92,284300,2.92
2009-12-11,2.86,2.90,2.83,2.88,349300,2.88
2009-12-10,2.93,2.97,2.79,2.83,149000,2.83
2009-12-09,2.88,2.92,2.78,2.90,173300,2.90
2009-12-08,2.85,2.95,2.81,2.87,98800,2.87
2009-12-07,2.90,2.95,2.85,2.85,133200,2.85
2009-12-04,2.85,2.92,2.78,2.89,688500,2.89
2009-12-03,3.02,3.02,2.72,2.83,673000,2.83
2009-12-02,2.99,3.01,2.96,3.00,375900,3.00
2009-12-01,2.97,3.12,2.93,2.99,384800,2.99
2009-11-30,3.02,3.03,2.91,2.96,336600,2.96
2009-11-27,3.02,3.09,2.90,2.94,276400,2.94
2009-11-25,3.12,3.12,3.04,3.05,152100,3.05
2009-11-24,3.01,3.15,3.00,3.10,233700,3.10
2009-11-23,3.13,3.19,3.05,3.09,211300,3.09
2009-11-20,3.12,3.17,2.95,3.08,433800,3.08
2009-11-19,3.24,3.30,3.04,3.14,229800,3.14
2009-11-18,3.36,3.40,3.21,3.26,194300,3.26
2009-11-17,3.20,3.32,3.15,3.32,255500,3.32
2009-11-16,3.04,3.35,3.04,3.29,844200,3.29
2009-11-13,2.74,3.00,2.72,3.00,1332100,3.00
2009-11-12,2.60,2.85,2.58,2.70,1764400,2.70
2009-11-11,2.56,2.64,2.50,2.58,381400,2.58
