Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,0.74,0.76,0.70,0.72,450000,0.72
2011-12-29,0.76,0.77,0.74,0.75,205800,0.75
2011-12-28,0.75,0.78,0.75,0.76,532500,0.76
2011-12-27,0.75,0.77,0.74,0.75,319800,0.75
2011-12-23,0.75,0.76,0.74,0.75,338100,0.75
2011-12-22,0.80,0.80,0.73,0.74,277100,0.74
2011-12-21,0.68,0.74,0.68,0.74,170400,0.74
2011-12-20,0.71,0.75,0.69,0.71,547600,0.71
2011-12-19,0.69,0.73,0.66,0.68,294700,0.68
2011-12-16,0.60,0.75,0.60,0.72,835800,0.72
2011-12-15,0.55,0.68,0.54,0.64,759500,0.64
2011-12-14,0.56,0.56,0.52,0.53,253600,0.53
2011-12-13,0.57,0.58,0.55,0.56,297300,0.56
2011-12-12,0.58,0.58,0.54,0.55,147700,0.55
2011-12-09,0.55,0.57,0.54,0.56,304500,0.56
2011-12-08,0.55,0.56,0.52,0.55,306100,0.55
2011-12-07,0.56,0.57,0.55,0.55,181700,0.55
2011-12-06,0.55,0.60,0.53,0.55,375200,0.55
2011-12-05,0.58,0.62,0.55,0.57,397200,0.57
2011-12-02,0.55,0.60,0.55,0.57,912000,0.57
2011-12-01,0.56,0.61,0.54,0.55,451800,0.55
2011-11-30,0.59,0.59,0.52,0.52,972400,0.52
2011-11-29,0.61,0.63,0.58,0.59,322700,0.59
2011-11-28,0.65,0.70,0.61,0.61,320600,0.61
2011-11-25,0.63,0.65,0.63,0.65,35000,0.65
2011-11-23,0.65,0.65,0.62,0.62,260800,0.62
2011-11-22,0.72,0.72,0.60,0.64,725100,0.64
2011-11-21,0.74,0.75,0.72,0.75,131400,0.75
2011-11-18,0.74,0.75,0.73,0.75,55400,0.75
2011-11-17,0.73,0.76,0.73,0.73,2113000,0.73
2011-11-16,0.75,0.76,0.73,0.74,299400,0.74
2011-11-15,0.78,0.79,0.74,0.75,350200,0.75
2011-11-14,0.78,0.78,0.75,0.77,130000,0.77
2011-11-11,0.78,0.81,0.77,0.77,313600,0.77
2011-11-10,0.80,0.81,0.77,0.78,313600,0.78
2011-11-09,0.81,0.83,0.79,0.79,333900,0.79
2011-11-08,0.84,0.87,0.80,0.81,398400,0.81
2011-11-07,0.88,0.89,0.85,0.87,47900,0.87
2011-11-04,0.85,0.89,0.84,0.89,48200,0.89
2011-11-03,0.85,0.87,0.84,0.87,575500,0.87
2011-11-02,0.98,0.98,0.83,0.84,1324900,0.84
2011-11-01,0.85,0.87,0.80,0.81,163200,0.81
2011-10-31,0.91,0.92,0.85,0.87,146200,0.87
2011-10-28,0.86,0.90,0.85,0.90,270900,0.90
2011-10-27,0.91,0.92,0.87,0.87,97400,0.87
2011-10-26,0.85,0.91,0.85,0.90,202400,0.90
2011-10-25,0.84,0.87,0.84,0.87,196400,0.87
2011-10-24,0.88,0.89,0.85,0.87,200300,0.87
2011-10-21,0.81,0.90,0.79,0.89,624200,0.89
2011-10-20,0.77,0.80,0.77,0.79,74000,0.79
2011-10-19,0.81,0.81,0.79,0.80,72400,0.80
2011-10-18,0.79,0.81,0.77,0.80,245100,0.80
2011-10-17,0.82,0.83,0.78,0.80,75900,0.80
2011-10-14,0.85,0.85,0.78,0.81,217800,0.81
2011-10-13,0.78,0.85,0.78,0.84,91300,0.84
2011-10-12,0.80,0.80,0.78,0.78,97100,0.78
2011-10-11,0.76,0.79,0.76,0.78,143400,0.78
2011-10-10,0.86,0.86,0.77,0.79,208000,0.79
