Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,1.70,1.70,1.66,1.66,170300,1.66
2010-12-30,1.65,1.71,1.65,1.70,205600,1.70
2010-12-29,1.70,1.72,1.64,1.66,365100,1.66
2010-12-28,1.68,1.70,1.64,1.69,277600,1.69
2010-12-27,1.60,1.68,1.60,1.68,171000,1.68
2010-12-23,1.67,1.68,1.65,1.65,173800,1.65
2010-12-22,1.68,1.68,1.57,1.67,346400,1.67
2010-12-21,1.65,1.66,1.62,1.65,242600,1.65
2010-12-20,1.59,1.65,1.56,1.63,225300,1.63
2010-12-17,1.65,1.65,1.56,1.56,683400,1.56
2010-12-16,1.56,1.67,1.56,1.64,269300,1.64
2010-12-15,1.53,1.60,1.53,1.57,497100,1.57
2010-12-14,1.73,1.75,1.58,1.62,627700,1.62
2010-12-13,1.77,1.80,1.67,1.71,661000,1.71
2010-12-10,1.61,1.90,1.56,1.75,2801300,1.75
2010-12-09,1.59,1.60,1.56,1.60,339800,1.60
2010-12-08,1.60,1.61,1.55,1.57,461100,1.57
2010-12-07,1.65,1.65,1.55,1.57,1738200,1.57
2010-12-06,1.54,1.64,1.54,1.60,630300,1.60
2010-12-03,1.46,1.62,1.46,1.60,1152400,1.60
2010-12-02,1.43,1.47,1.43,1.45,405200,1.45
2010-12-01,1.43,1.47,1.40,1.43,427800,1.43
2010-11-30,1.58,1.58,1.35,1.40,1948700,1.40
2010-11-29,1.65,1.65,1.46,1.51,457200,1.51
2010-11-26,1.56,1.63,1.53,1.53,415900,1.53
2010-11-24,1.45,1.63,1.44,1.60,626100,1.60
2010-11-23,1.49,1.51,1.39,1.42,777200,1.42
2010-11-22,1.45,1.61,1.38,1.52,1500200,1.52
2010-11-19,1.40,1.40,1.36,1.40,533200,1.40
2010-11-18,1.35,1.39,1.33,1.38,601200,1.38
2010-11-17,1.33,1.38,1.30,1.33,1268100,1.33
2010-11-16,1.21,1.34,1.20,1.25,758300,1.25
2010-11-15,1.29,1.29,1.19,1.24,728300,1.24
2010-11-12,1.06,1.28,1.04,1.27,1773200,1.27
2010-11-11,1.08,1.10,1.02,1.06,317000,1.06
2010-11-10,1.15,1.15,0.99,1.10,652300,1.10
2010-11-09,1.20,1.20,1.11,1.14,187200,1.14
2010-11-08,1.10,1.21,1.10,1.19,253600,1.19
2010-11-05,1.17,1.22,1.11,1.13,236800,1.13
2010-11-04,1.10,1.23,1.08,1.17,850600,1.17
2010-11-03,0.98,1.07,0.96,1.02,504300,1.02
2010-11-02,1.00,1.01,0.95,0.98,226600,0.98
2010-11-01,0.99,1.05,0.97,0.99,258200,0.99
2010-10-29,0.98,1.05,0.97,0.97,1173300,0.97
2010-10-28,1.17,1.18,0.86,0.98,1502500,0.98
2010-10-27,1.19,1.19,1.15,1.15,347100,1.15
2010-10-26,1.19,1.20,1.17,1.20,145600,1.20
2010-10-25,1.19,1.20,1.17,1.19,80900,1.19
2010-10-22,1.17,1.19,1.15,1.17,84200,1.17
2010-10-21,1.18,1.20,1.16,1.16,152400,1.16
2010-10-20,1.20,1.21,1.15,1.16,212200,1.16
2010-10-19,1.18,1.21,1.18,1.19,287900,1.19
2010-10-18,1.21,1.21,1.18,1.21,129200,1.21
2010-10-15,1.24,1.24,1.18,1.20,328500,1.20
2010-10-14,1.25,1.25,1.20,1.21,164900,1.21
2010-10-13,1.28,1.28,1.23,1.25,192800,1.25
2010-10-12,1.26,1.28,1.21,1.26,136500,1.26
2010-10-11,1.27,1.28,1.21,1.27,167200,1.27
2010-10-08,1.15,1.28,1.15,1.28,501400,1.28
2010-10-07,1.21,1.23,1.11,1.16,639900,1.16
2010-10-06,1.28,1.30,1.15,1.19,711500,1.19
2010-10-05,1.31,1.32,1.27,1.29,304100,1.29
2010-10-04,1.44,1.45,1.29,1.32,354100,1.32
2010-10-01,1.35,1.51,1.27,1.43,1089500,1.43
2010-09-30,1.23,1.24,1.16,1.23,366100,1.23
2010-09-29,1.22,1.25,1.18,1.20,263300,1.20
2010-09-28,1.19,1.23,1.18,1.23,137400,1.23
2010-09-27,1.27,1.27,1.18,1.20,208400,1.20
2010-09-24,1.29,1.29,1.24,1.27,129400,1.27
2010-09-23,1.29,1.29,1.12,1.25,621600,1.25
2010-09-22,1.35,1.38,1.28,1.30,267300,1.30
2010-09-21,1.43,1.45,1.35,1.38,331900,1.38
2010-09-20,1.48,1.65,1.39,1.41,1130500,1.41
2010-09-17,1.26,1.47,1.26,1.46,590000,1.46
2010-09-16,1.26,1.28,1.20,1.25,755400,1.25
2010-09-15,1.35,1.35,1.23,1.26,409400,1.26
2010-09-14,1.23,1.33,1.20,1.28,699600,1.28
2010-09-13,1.20,1.24,1.16,1.23,780300,1.23
2010-09-10,1.12,1.17,1.05,1.13,382700,1.13
2010-09-09,1.21,1.25,1.11,1.15,275300,1.15
2010-09-08,1.12,1.20,1.11,1.19,764200,1.19
2010-09-07,1.04,1.17,1.04,1.10,527200,1.10
2010-09-03,1.03,1.09,0.99,1.06,770700,1.06
2010-09-02,1.04,1.11,0.92,1.07,1544800,1.07
2010-09-01,0.85,0.92,0.82,0.92,998700,0.92
2010-08-31,0.79,0.79,0.75,0.78,353200,0.78
2010-08-30,0.82,0.83,0.75,0.76,342100,0.76
2010-08-27,0.85,0.85,0.77,0.82,302100,0.82
2010-08-26,0.75,0.86,0.72,0.85,1160600,0.85
2010-08-25,0.70,0.74,0.66,0.74,388100,0.74
2010-08-24,0.73,0.73,0.66,0.71,869700,0.71
2010-08-23,0.74,0.79,0.74,0.74,634900,0.74
2010-08-20,0.76,0.78,0.74,0.75,740300,0.75
2010-08-19,0.80,0.83,0.73,0.75,1807800,0.75
2010-08-18,0.96,0.98,0.72,0.81,4636900,0.81
2010-08-17,1.22,1.30,0.98,1.03,2550600,1.03
2010-08-16,1.40,1.41,1.37,1.39,247700,1.39
2010-08-13,1.41,1.44,1.38,1.41,469800,1.41
2010-08-12,1.40,1.45,1.37,1.41,326100,1.41
2010-08-11,1.37,1.42,1.33,1.40,282700,1.40
2010-08-10,1.50,1.52,1.42,1.44,351800,1.44
2010-08-09,1.40,1.50,1.39,1.50,621300,1.50
2010-08-06,1.42,1.43,1.38,1.39,279000,1.39
2010-08-05,1.46,1.50,1.41,1.44,305000,1.44
2010-08-04,1.52,1.52,1.49,1.50,197600,1.50
2010-08-03,1.59,1.59,1.48,1.49,536900,1.49
2010-08-02,1.63,1.66,1.57,1.58,328100,1.58
2010-07-30,1.50,1.64,1.50,1.61,256800,1.61
2010-07-29,1.65,1.75,1.35,1.55,1137300,1.55
2010-07-28,1.76,1.88,1.72,1.81,344200,1.81
2010-07-27,1.73,1.75,1.72,1.73,206400,1.73
2010-07-26,1.58,1.70,1.58,1.69,259800,1.69
2010-07-23,1.53,1.61,1.52,1.60,334400,1.60
2010-07-22,1.50,1.55,1.50,1.55,208800,1.55
2010-07-21,1.50,1.52,1.46,1.48,275200,1.48
2010-07-20,1.46,1.53,1.46,1.50,146100,1.50
2010-07-19,1.51,1.55,1.45,1.50,186100,1.50
2010-07-16,1.57,1.57,1.47,1.49,351300,1.49
2010-07-15,1.62,1.62,1.53,1.56,141900,1.56
2010-07-14,1.62,1.67,1.62,1.62,107500,1.62
2010-07-13,1.60,1.67,1.55,1.65,229000,1.65
2010-07-12,1.58,1.63,1.52,1.58,405400,1.58
2010-07-09,1.52,1.65,1.49,1.61,323300,1.61
2010-07-08,1.55,1.69,1.40,1.49,440400,1.49
2010-07-07,1.60,1.60,1.45,1.50,389600,1.50
2010-07-06,1.77,1.79,1.60,1.60,432700,1.60
2010-07-02,1.78,1.84,1.65,1.73,180600,1.73
2010-07-01,1.81,1.87,1.72,1.79,1062900,1.79
2010-06-30,1.56,1.83,1.51,1.83,637500,1.83
2010-06-29,1.84,1.84,1.65,1.66,536700,1.66
2010-06-28,2.17,2.17,1.85,1.86,550100,1.86
2010-06-25,1.83,1.95,1.78,1.95,1719900,1.95
2010-06-24,1.84,1.94,1.75,1.77,726400,1.77
2010-06-23,1.81,1.84,1.74,1.78,232800,1.78
2010-06-22,1.89,1.89,1.75,1.75,398600,1.75
2010-06-21,1.90,1.94,1.80,1.89,508800,1.89
2010-06-18,1.88,1.90,1.65,1.73,454900,1.73
2010-06-17,1.89,1.99,1.80,1.86,226200,1.86
2010-06-16,2.06,2.06,1.86,1.90,386400,1.90
2010-06-15,1.99,2.19,1.83,2.03,1502900,2.03
2010-06-14,1.45,1.93,1.45,1.90,2485100,1.90
2010-06-11,1.43,1.53,1.33,1.35,923300,1.35
2010-06-10,1.26,1.54,1.14,1.54,4504800,1.54
2010-06-09,1.30,1.32,1.25,1.26,378000,1.26
2010-06-08,1.34,1.39,1.25,1.26,1026700,1.26
2010-06-07,1.50,1.56,1.32,1.35,935700,1.35
2010-06-04,1.63,1.67,1.56,1.57,481800,1.57
2010-06-03,1.68,1.70,1.55,1.63,327400,1.63
2010-06-02,1.61,1.62,1.47,1.60,433300,1.60
2010-06-01,1.51,1.67,1.50,1.54,471900,1.54
2010-05-28,1.70,1.70,1.53,1.58,851500,1.58
2010-05-27,1.68,1.77,1.50,1.68,2130700,1.68
2010-05-26,1.37,1.54,1.32,1.49,1430100,1.49
2010-05-25,1.32,1.47,1.29,1.31,1052900,1.31
2010-05-24,1.54,1.54,1.39,1.39,752300,1.39
2010-05-21,1.73,1.73,1.55,1.55,706000,1.55
2010-05-20,1.70,1.92,1.55,1.67,1823000,1.67
2010-05-19,2.69,2.69,1.58,1.63,2821600,1.63
2010-05-18,2.86,2.90,2.72,2.74,187700,2.74
2010-05-17,2.79,2.93,2.75,2.81,108300,2.81
2010-05-14,2.97,2.97,2.75,2.79,237000,2.79
2010-05-13,2.96,3.02,2.94,2.99,148600,2.99
2010-05-12,3.06,3.06,2.97,3.02,232500,3.02
2010-05-11,2.88,3.04,2.83,3.02,106500,3.02
2010-05-10,3.08,3.20,2.87,2.96,227900,2.96
2010-05-07,2.70,2.88,2.63,2.75,382200,2.75
2010-05-06,2.80,2.95,2.47,2.53,587700,2.53
2010-05-05,2.89,3.04,2.75,2.84,345800,2.84
2010-05-04,3.09,3.20,2.92,2.94,329600,2.94
2010-05-03,3.10,3.30,3.00,3.16,320300,3.16
2010-04-30,3.16,3.16,3.05,3.07,203200,3.07
2010-04-29,3.16,3.19,3.02,3.14,169200,3.14
2010-04-28,3.29,3.31,3.14,3.16,126500,3.16
2010-04-27,3.20,3.29,3.20,3.25,162300,3.25
2010-04-26,3.42,3.42,3.23,3.25,213600,3.25
2010-04-23,3.38,3.57,3.25,3.39,318300,3.39
2010-04-22,3.50,3.54,3.35,3.40,86000,3.40
2010-04-21,3.60,3.62,3.47,3.50,197600,3.50
2010-04-20,3.57,3.62,3.43,3.62,226100,3.62
2010-04-19,3.50,3.62,3.40,3.51,297200,3.51
2010-04-16,3.43,3.58,3.42,3.53,430100,3.53
2010-04-15,3.31,3.52,3.31,3.43,297400,3.43
2010-04-14,3.18,3.40,3.18,3.34,310400,3.34
2010-04-13,3.20,3.30,3.19,3.22,153400,3.22
2010-04-12,3.20,3.29,3.20,3.22,161800,3.22
2010-04-09,3.24,3.30,3.20,3.22,203400,3.22
2010-04-08,3.29,3.29,3.18,3.25,91100,3.25
2010-04-07,3.32,3.36,3.20,3.27,248700,3.27
2010-04-06,3.35,3.36,3.29,3.32,193500,3.32
2010-04-05,3.20,3.38,3.12,3.34,741800,3.34
2010-04-01,3.04,3.16,2.96,3.16,429400,3.16
2010-03-31,3.08,3.08,3.00,3.03,196600,3.03
2010-03-30,2.96,3.09,2.87,3.08,375000,3.08
2010-03-29,3.08,3.10,2.88,2.97,898900,2.97
2010-03-26,3.15,3.35,3.04,3.17,1849900,3.17
2010-03-25,3.70,3.88,3.66,3.84,639000,3.84
2010-03-24,3.59,3.75,3.57,3.62,369700,3.62
2010-03-23,3.59,3.72,3.50,3.56,786900,3.56
2010-03-22,3.37,3.50,3.25,3.47,367000,3.47
2010-03-19,3.45,3.49,3.15,3.45,466500,3.45
2010-03-18,3.30,3.53,3.27,3.37,372900,3.37
2010-03-17,3.23,3.32,3.20,3.25,277600,3.25
2010-03-16,3.05,3.24,3.05,3.19,558400,3.19
2010-03-15,2.94,3.04,2.83,3.03,210800,3.03
2010-03-12,3.00,3.01,2.90,2.90,301800,2.90
2010-03-11,3.00,3.00,2.91,2.95,186700,2.95
2010-03-10,3.00,3.09,2.98,3.01,349900,3.01
2010-03-09,3.01,3.12,2.93,2.98,351200,2.98
2010-03-08,3.10,3.12,3.04,3.10,176000,3.10
2010-03-05,2.93,3.14,2.87,3.13,367400,3.13
2010-03-04,2.86,2.92,2.79,2.89,212200,2.89
2010-03-03,2.79,2.85,2.65,2.84,153900,2.84
2010-03-02,2.78,2.78,2.71,2.77,107700,2.77
2010-03-01,2.81,2.83,2.74,2.77,174600,2.77
2010-02-26,2.85,2.85,2.77,2.81,106600,2.81
2010-02-25,2.76,2.84,2.74,2.84,127700,2.84
2010-02-24,2.82,2.84,2.75,2.79,73700,2.79
2010-02-23,2.86,2.89,2.81,2.81,145000,2.81
2010-02-22,2.83,2.90,2.83,2.86,94600,2.86
2010-02-19,2.90,2.91,2.78,2.82,98800,2.82
2010-02-18,2.91,2.92,2.83,2.88,79400,2.88
2010-02-17,2.81,2.90,2.80,2.90,109800,2.90
2010-02-16,2.79,2.85,2.71,2.80,114200,2.80
2010-02-12,2.75,2.80,2.68,2.80,130200,2.80
2010-02-11,2.65,2.81,2.65,2.78,75300,2.78
2010-02-10,2.76,2.77,2.62,2.66,129400,2.66
2010-02-09,2.68,2.76,2.66,2.75,107000,2.75
2010-02-08,2.70,2.80,2.56,2.65,116200,2.65
2010-02-05,2.82,2.82,2.64,2.70,191200,2.70
2010-02-04,2.86,2.88,2.78,2.82,168700,2.82
2010-02-03,2.91,2.92,2.85,2.87,146700,2.87
2010-02-02,2.93,3.04,2.86,2.88,143100,2.88
2010-02-01,2.85,2.93,2.84,2.93,140500,2.93
2010-01-29,2.91,2.91,2.81,2.83,151600,2.83
2010-01-28,2.83,3.00,2.74,2.85,352400,2.85
2010-01-27,2.98,2.98,2.79,2.81,232400,2.81
2010-01-26,3.16,3.18,2.95,2.95,234800,2.95
2010-01-25,3.27,3.30,3.17,3.18,130700,3.18
2010-01-22,3.26,3.29,3.23,3.24,131200,3.24
2010-01-21,3.32,3.32,3.20,3.25,182600,3.25
2010-01-20,3.42,3.45,3.25,3.29,122400,3.29
2010-01-19,3.32,3.45,3.25,3.45,241200,3.45
2010-01-15,3.21,3.30,3.20,3.25,166400,3.25
2010-01-14,3.20,3.30,3.15,3.25,84600,3.25
2010-01-13,3.23,3.30,3.16,3.27,218800,3.27
2010-01-12,3.20,3.25,3.15,3.21,150900,3.21
2010-01-11,3.20,3.27,3.04,3.22,169400,3.22
2010-01-08,3.20,3.21,3.10,3.19,105600,3.19
2010-01-07,3.17,3.23,3.13,3.22,157500,3.22
2010-01-06,3.20,3.26,3.10,3.21,172400,3.21
2010-01-05,3.20,3.30,3.11,3.22,242100,3.22
2010-01-04,3.19,3.19,3.09,3.17,190000,3.17
