Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,1.76,1.99,1.75,1.99,486600,1.99
2008-12-30,1.57,1.79,1.57,1.73,385000,1.73
2008-12-29,1.91,1.91,1.55,1.55,644700,1.55
2008-12-26,1.83,1.92,1.81,1.82,177600,1.82
2008-12-24,2.10,2.10,1.83,1.86,292900,1.86
2008-12-23,2.37,2.37,1.93,1.95,536700,1.95
2008-12-22,2.42,2.56,2.02,2.19,590600,2.19
2008-12-19,2.43,3.10,2.27,2.30,1377100,2.30
2008-12-18,2.58,2.63,2.23,2.23,898500,2.23
2008-12-17,2.67,2.68,2.30,2.40,692900,2.40
2008-12-16,2.61,3.12,2.59,2.61,748600,2.61
2008-12-15,3.27,3.29,2.87,2.88,370700,2.88
2008-12-12,3.19,3.24,3.06,3.24,217200,3.24
2008-12-11,3.21,3.35,3.15,3.25,490700,3.25
2008-12-10,3.28,3.33,3.18,3.24,1168700,3.24
2008-12-09,3.27,3.35,3.15,3.25,940000,3.25
2008-12-08,3.36,3.44,3.14,3.29,1050800,3.29
2008-12-05,3.34,3.37,3.12,3.29,373100,3.29
2008-12-04,3.30,3.49,3.22,3.39,320500,3.39
2008-12-03,3.33,3.35,3.18,3.28,359100,3.28
2008-12-02,3.50,3.62,3.30,3.40,150800,3.40
2008-12-01,3.68,4.00,3.27,3.38,239400,3.38
2008-11-28,3.77,4.25,3.70,4.25,64400,4.25
2008-11-26,3.38,3.89,3.24,3.89,233700,3.89
2008-11-25,3.76,3.90,3.16,3.43,338100,3.43
2008-11-24,2.80,3.95,2.80,3.95,285900,3.95
2008-11-21,3.17,3.18,2.45,2.97,375000,2.97
2008-11-20,2.88,3.40,2.70,2.90,453300,2.90
2008-11-19,2.82,3.15,2.75,2.83,483100,2.83
2008-11-18,3.80,3.80,2.61,2.75,720800,2.75
2008-11-17,4.00,4.03,3.65,3.80,143800,3.80
2008-11-14,4.70,4.90,3.80,3.94,505800,3.94
2008-11-13,4.24,4.77,3.81,4.77,651100,4.77
2008-11-12,5.80,6.15,3.51,4.02,1879100,4.02
2008-11-11,6.00,6.44,5.90,6.20,513600,6.20
2008-11-10,6.83,6.93,6.53,6.60,372600,6.60
2008-11-07,6.84,6.94,6.70,6.74,258100,6.74
2008-11-06,6.00,6.98,5.99,6.70,527900,6.70
2008-11-05,6.26,6.26,5.80,5.90,228900,5.90
2008-11-04,6.10,6.15,5.85,6.14,426900,6.14
2008-11-03,6.05,6.05,5.78,5.91,239400,5.91
2008-10-31,5.44,5.98,5.25,5.88,342400,5.88
2008-10-30,5.25,5.47,5.20,5.47,463900,5.47
2008-10-29,5.58,5.65,4.96,5.14,720700,5.14
2008-10-28,5.24,5.58,4.86,5.45,294500,5.45
2008-10-27,5.06,5.27,4.96,5.15,364200,5.15
2008-10-24,5.00,5.15,4.70,5.11,412900,5.11
2008-10-23,5.64,5.65,5.13,5.30,303800,5.30
2008-10-22,6.02,6.08,5.46,5.53,187300,5.53
2008-10-21,6.61,6.65,6.08,6.11,208100,6.11
2008-10-20,6.06,6.52,6.05,6.52,271200,6.52
2008-10-17,5.75,6.14,5.55,6.01,551900,6.01
2008-10-16,5.59,5.89,5.10,5.89,442500,5.89
2008-10-15,6.33,6.33,5.40,5.40,364900,5.40
2008-10-14,6.72,6.90,5.88,6.00,753900,6.00
2008-10-13,6.93,6.93,6.20,6.60,1339700,6.60
2008-10-10,6.14,6.45,5.25,6.45,1423200,6.45
2008-10-09,6.71,6.75,5.86,6.10,569800,6.10
2008-10-08,6.56,7.16,6.41,6.41,2588600,6.41
2008-10-07,6.95,7.55,6.71,6.75,810600,6.75
2008-10-06,6.89,7.24,6.50,7.20,1073100,7.20
2008-10-03,7.94,8.40,7.11,7.27,773400,7.27
2008-10-02,8.43,8.43,7.88,7.88,359400,7.88
2008-10-01,8.18,8.45,7.80,8.45,193600,8.45
2008-09-30,8.11,8.50,8.01,8.20,638800,8.20
2008-09-29,8.31,8.75,7.79,7.80,453500,7.80
2008-09-26,8.54,8.70,8.35,8.60,479400,8.60
2008-09-25,8.56,8.65,8.25,8.60,394500,8.60
2008-09-24,8.50,8.79,8.20,8.52,706000,8.52
2008-09-23,9.31,9.39,8.65,8.65,568400,8.65
2008-09-22,9.83,9.85,9.32,9.45,272100,9.45
2008-09-19,9.49,10.00,8.75,9.99,1152500,9.99
2008-09-18,8.50,8.95,8.10,8.77,811300,8.77
2008-09-17,8.88,8.96,8.37,8.74,440500,8.74
2008-09-16,8.53,8.99,8.20,8.80,674000,8.80
2008-09-15,9.23,9.23,8.68,8.68,341700,8.68
2008-09-12,9.25,9.33,9.00,9.17,323600,9.17
2008-09-11,9.09,9.34,8.80,9.34,601300,9.34
2008-09-10,8.93,9.11,8.69,9.07,415300,9.07
2008-09-09,9.56,9.76,8.93,8.95,598800,8.95
2008-09-08,9.70,10.00,9.49,9.65,520300,9.65
2008-09-05,10.20,10.20,9.25,9.64,630500,9.64
2008-09-04,9.84,10.25,9.67,10.05,808900,10.05
2008-09-03,9.54,9.69,9.45,9.60,367700,9.60
2008-09-02,9.05,9.63,9.05,9.43,504700,9.43
2008-08-29,8.71,9.40,8.71,8.95,623100,8.95
2008-08-28,9.42,9.65,9.24,9.40,400300,9.40
2008-08-27,8.44,9.50,8.31,9.37,812200,9.37
2008-08-26,8.23,8.70,8.15,8.55,379200,8.55
2008-08-25,8.34,8.54,8.16,8.21,151800,8.21
2008-08-22,8.55,8.60,8.24,8.51,331200,8.51
2008-08-21,8.07,8.54,7.95,8.51,492700,8.51
2008-08-20,8.05,8.43,8.02,8.11,393500,8.11
2008-08-19,8.72,8.72,7.86,8.07,461900,8.07
2008-08-18,8.27,8.70,7.81,8.59,842700,8.59
2008-08-15,7.33,8.25,7.29,8.20,1479100,8.20
2008-08-14,6.79,6.89,6.40,6.54,506900,6.54
2008-08-13,7.19,7.19,6.80,6.80,267800,6.80
2008-08-12,7.25,7.25,7.00,7.07,452400,7.07
2008-08-11,7.00,7.27,6.64,7.20,757800,7.20
2008-08-08,6.47,6.99,6.36,6.99,857600,6.99
2008-08-07,5.98,6.50,5.98,6.37,781700,6.37
2008-08-06,5.87,6.16,5.72,6.05,334800,6.05
2008-08-05,5.64,5.94,5.46,5.75,453900,5.75
2008-08-04,5.60,5.99,5.44,5.52,262600,5.52
2008-08-01,5.99,6.04,5.38,5.53,516800,5.53
2008-07-31,5.75,5.99,5.64,5.88,311400,5.88
2008-07-30,5.72,5.92,5.53,5.80,741000,5.80
2008-07-29,5.55,5.75,5.00,5.68,517400,5.68
2008-07-28,5.94,5.94,5.36,5.48,801600,5.48
2008-07-25,6.25,6.30,5.82,5.86,361400,5.86
2008-07-24,6.69,6.69,5.96,6.15,359300,6.15
2008-07-23,6.60,6.60,6.25,6.30,559100,6.30
2008-07-22,6.80,6.85,6.43,6.55,683400,6.55
2008-07-21,7.21,7.21,6.87,6.88,243000,6.88
2008-07-18,6.75,7.20,6.37,7.12,408700,7.12
2008-07-17,6.62,7.06,6.50,7.06,381800,7.06
2008-07-16,6.26,6.70,6.21,6.70,250700,6.70
2008-07-15,6.17,6.45,6.10,6.35,300500,6.35
2008-07-14,6.29,6.33,6.07,6.12,183000,6.12
2008-07-11,6.29,6.29,5.99,6.18,499000,6.18
2008-07-10,6.43,6.52,6.10,6.25,2031600,6.25
2008-07-09,6.75,6.78,6.40,6.40,686500,6.40
2008-07-08,6.10,6.80,6.10,6.80,630400,6.80
2008-07-07,6.35,6.42,6.05,6.05,216400,6.05
2008-07-03,6.15,6.40,6.07,6.25,153800,6.25
2008-07-02,6.51,6.55,6.06,6.06,514800,6.06
2008-07-01,6.51,6.58,6.05,6.50,451000,6.50
2008-06-30,6.27,6.80,6.02,6.65,424300,6.65
2008-06-27,6.86,6.90,6.27,6.35,2576900,6.35
2008-06-26,6.85,7.02,6.45,6.80,403800,6.80
2008-06-25,7.06,7.11,6.78,6.87,371000,6.87
2008-06-24,6.67,7.09,6.46,6.98,497200,6.98
2008-06-23,6.54,6.76,6.50,6.61,148500,6.61
2008-06-20,6.74,6.74,6.40,6.60,247000,6.60
2008-06-19,6.60,6.88,6.53,6.79,161200,6.79
2008-06-18,6.76,6.98,6.54,6.66,193700,6.66
2008-06-17,6.43,6.70,6.16,6.70,382300,6.70
2008-06-16,6.50,6.52,6.20,6.35,134700,6.35
2008-06-13,6.13,6.40,6.06,6.39,255300,6.39
2008-06-12,5.95,6.39,5.92,6.05,409200,6.05
2008-06-11,6.47,6.47,5.52,5.90,1175700,5.90
2008-06-10,7.14,7.16,6.30,6.39,729100,6.39
2008-06-09,7.53,7.53,6.93,7.24,525500,7.24
2008-06-06,7.54,7.54,6.96,7.40,687200,7.40
2008-06-05,7.40,7.64,7.10,7.60,401100,7.60
2008-06-04,7.20,7.24,7.01,7.24,596900,7.24
2008-06-03,7.16,7.17,6.87,7.13,1689600,7.13
2008-06-02,6.76,7.04,6.68,7.04,384400,7.04
