Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,0.15,0.16,0.14,0.15,40737900,0.15
2013-12-30,0.13,0.14,0.13,0.14,28185500,0.14
2013-12-27,0.14,0.14,0.13,0.13,10621700,0.13
2013-12-26,0.14,0.14,0.13,0.13,16695700,0.13
2013-12-24,0.14,0.15,0.14,0.14,8618900,0.14
2013-12-23,0.14,0.15,0.14,0.14,17945300,0.14
2013-12-20,0.14,0.14,0.13,0.14,15123900,0.14
2013-12-19,0.12,0.13,0.12,0.13,12525600,0.13
2013-12-18,0.13,0.14,0.12,0.12,20309100,0.12
2013-12-17,0.14,0.15,0.12,0.13,71259500,0.13
2013-12-16,0.11,0.14,0.11,0.14,34386100,0.14
2013-12-13,0.12,0.12,0.10,0.11,10948300,0.11
2013-12-12,0.11,0.12,0.11,0.12,23888200,0.12
2013-12-11,0.09,0.11,0.09,0.11,29849200,0.11
2013-12-10,0.09,0.09,0.09,0.09,3883900,0.09
2013-12-09,0.09,0.09,0.09,0.09,2522500,0.09
2013-12-06,0.09,0.09,0.09,0.09,3364400,0.09
2013-12-05,0.09,0.09,0.09,0.09,3881500,0.09
2013-12-04,0.09,0.09,0.09,0.09,3218900,0.09
2013-12-03,0.09,0.09,0.09,0.09,3189100,0.09
2013-12-02,0.10,0.10,0.09,0.09,8522000,0.09
2013-11-29,0.09,0.10,0.09,0.09,3896200,0.09
2013-11-27,0.09,0.09,0.09,0.09,8867600,0.09
2013-11-26,0.09,0.09,0.08,0.09,5783600,0.09
2013-11-25,0.08,0.09,0.08,0.08,6893800,0.08
2013-11-22,0.08,0.09,0.08,0.08,9448200,0.08
2013-11-21,0.07,0.09,0.07,0.08,42405600,0.08
2013-11-20,0.07,0.07,0.06,0.06,17162800,0.06
2013-11-19,0.08,0.08,0.07,0.07,14200000,0.07
2013-11-18,0.08,0.08,0.07,0.08,19824900,0.08
2013-11-15,0.10,0.10,0.07,0.08,59630700,0.08
2013-11-14,0.10,0.10,0.10,0.10,10807400,0.10
2013-11-13,0.10,0.10,0.10,0.10,17619600,0.10
2013-11-12,0.09,0.10,0.09,0.10,19521100,0.10
2013-11-11,0.10,0.10,0.09,0.09,7119000,0.09
2013-11-08,0.09,0.09,0.09,0.09,7564200,0.09
2013-11-07,0.09,0.09,0.09,0.09,3764300,0.09
2013-11-06,0.10,0.10,0.09,0.09,10969400,0.09
2013-11-05,0.09,0.10,0.09,0.09,10690800,0.09
2013-11-04,0.09,0.10,0.09,0.09,18015900,0.09
2013-11-01,0.08,0.09,0.08,0.09,2587100,0.09
2013-10-31,0.09,0.09,0.08,0.08,6169500,0.08
2013-10-30,0.09,0.09,0.09,0.09,4387900,0.09
2013-10-29,0.08,0.09,0.08,0.09,8509400,0.09
2013-10-28,0.08,0.09,0.07,0.08,16760900,0.08
2013-10-25,0.09,0.09,0.08,0.08,17155100,0.08
2013-10-24,0.09,0.10,0.09,0.09,21945800,0.09
2013-10-23,0.09,0.10,0.08,0.09,25533300,0.09
2013-10-22,0.07,0.09,0.07,0.08,31894500,0.08
2013-10-21,0.07,0.07,0.07,0.07,11613600,0.07
2013-10-18,0.07,0.07,0.06,0.07,8837800,0.07
2013-10-17,0.06,0.07,0.06,0.07,19208500,0.07
2013-10-16,0.06,0.06,0.06,0.06,5096200,0.06
2013-10-15,0.06,0.06,0.06,0.06,4666900,0.06
2013-10-14,0.06,0.06,0.06,0.06,6583800,0.06
2013-10-11,0.06,0.06,0.06,0.06,5706100,0.06
2013-10-10,0.06,0.06,0.06,0.06,11443000,0.06
2013-10-09,0.06,0.06,0.06,0.06,4890900,0.06
2013-10-08,0.06,0.06,0.06,0.06,8922300,0.06
2013-10-07,0.06,0.06,0.06,0.06,6500500,0.06
2013-10-04,0.05,0.06,0.05,0.06,11002500,0.06
2013-10-03,0.06,0.06,0.05,0.05,8580600,0.05
2013-10-02,0.06,0.06,0.06,0.06,9072600,0.06
2013-10-01,0.06,0.07,0.05,0.06,21472800,0.06
2013-09-30,0.06,0.06,0.05,0.06,22483600,0.06
2013-09-27,0.05,0.05,0.05,0.05,6316600,0.05
2013-09-26,0.06,0.06,0.05,0.05,13072500,0.05
2013-09-25,0.05,0.05,0.05,0.05,6267200,0.05
2013-09-24,0.05,0.05,0.05,0.05,14224800,0.05
2013-09-23,0.04,0.05,0.04,0.05,5679700,0.05
2013-09-20,0.05,0.05,0.04,0.04,11610500,0.04
2013-09-19,0.05,0.05,0.05,0.05,10807900,0.05
2013-09-18,0.05,0.05,0.05,0.05,6589900,0.05
2013-09-17,0.06,0.06,0.05,0.05,16836400,0.05
2013-09-16,0.05,0.06,0.05,0.06,40052600,0.06
2013-09-13,0.04,0.05,0.04,0.05,22429300,0.05
2013-09-12,0.04,0.04,0.04,0.04,10085000,0.04
2013-09-11,0.04,0.04,0.03,0.04,7718500,0.04
2013-09-10,0.04,0.04,0.03,0.04,3973100,0.04
2013-09-09,0.03,0.04,0.03,0.03,3738200,0.03
2013-09-06,0.03,0.03,0.03,0.03,3419800,0.03
2013-09-05,0.04,0.04,0.03,0.03,3540600,0.03
2013-09-04,0.04,0.04,0.03,0.04,6508400,0.04
2013-09-03,0.04,0.04,0.04,0.04,2921600,0.04
2013-08-30,0.04,0.04,0.04,0.04,16541900,0.04
2013-08-29,0.04,0.04,0.03,0.04,18395100,0.04
2013-08-28,0.03,0.04,0.03,0.04,7951800,0.04
2013-08-27,0.03,0.03,0.03,0.03,1963700,0.03
2013-08-26,0.03,0.03,0.03,0.03,1834800,0.03
2013-08-23,0.03,0.03,0.03,0.03,1882400,0.03
2013-08-22,0.03,0.03,0.03,0.03,4170700,0.03
2013-08-21,0.03,0.03,0.03,0.03,4772200,0.03
2013-08-20,0.04,0.04,0.03,0.03,3002000,0.03
2013-08-19,0.04,0.04,0.03,0.03,3291200,0.03
2013-08-16,0.04,0.04,0.03,0.04,2440000,0.04
2013-08-15,0.04,0.04,0.03,0.04,6813500,0.04
2013-08-14,0.04,0.04,0.04,0.04,9125000,0.04
2013-08-13,0.04,0.04,0.04,0.04,9073800,0.04
2013-08-12,0.04,0.04,0.04,0.04,12399500,0.04
2013-08-09,0.03,0.04,0.03,0.04,12005600,0.04
2013-08-08,0.03,0.03,0.03,0.03,2562800,0.03
2013-08-07,0.03,0.03,0.03,0.03,3113400,0.03
2013-08-06,0.03,0.03,0.03,0.03,3551700,0.03
2013-08-05,0.03,0.03,0.03,0.03,3823500,0.03
2013-08-02,0.03,0.03,0.03,0.03,3042800,0.03
2013-08-01,0.04,0.04,0.03,0.03,9260800,0.03
2013-07-31,0.04,0.04,0.03,0.04,3204300,0.04
2013-07-30,0.04,0.04,0.04,0.04,3565600,0.04
2013-07-29,0.04,0.04,0.04,0.04,2470200,0.04
2013-07-26,0.04,0.04,0.04,0.04,3334900,0.04
2013-07-25,0.04,0.04,0.04,0.04,2764500,0.04
2013-07-24,0.04,0.04,0.04,0.04,2849600,0.04
2013-07-23,0.04,0.04,0.04,0.04,2779400,0.04
2013-07-22,0.04,0.04,0.04,0.04,2354100,0.04
2013-07-19,0.04,0.04,0.04,0.04,1600500,0.04
2013-07-18,0.04,0.04,0.04,0.04,2368400,0.04
2013-07-17,0.04,0.04,0.04,0.04,2514700,0.04
2013-07-16,0.04,0.04,0.04,0.04,5117100,0.04
2013-07-15,0.04,0.04,0.04,0.04,4776300,0.04
2013-07-12,0.04,0.04,0.04,0.04,3327900,0.04
2013-07-11,0.04,0.04,0.04,0.04,2425900,0.04
2013-07-10,0.04,0.04,0.04,0.04,3627900,0.04
2013-07-09,0.05,0.05,0.04,0.04,3406000,0.04
2013-07-08,0.05,0.05,0.04,0.05,3815200,0.05
2013-07-05,0.04,0.05,0.04,0.05,2228700,0.05
2013-07-03,0.05,0.05,0.04,0.04,957400,0.04
2013-07-02,0.05,0.05,0.04,0.05,2731200,0.05
2013-07-01,0.05,0.05,0.04,0.05,2581600,0.05
2013-06-28,0.05,0.05,0.05,0.05,3328100,0.05
2013-06-27,0.05,0.05,0.04,0.05,1732000,0.05
2013-06-26,0.04,0.05,0.04,0.04,4671800,0.04
2013-06-25,0.04,0.05,0.04,0.04,4728300,0.04
2013-06-24,0.04,0.05,0.04,0.04,4035900,0.04
2013-06-21,0.04,0.05,0.04,0.04,4630700,0.04
2013-06-20,0.05,0.05,0.04,0.04,5389700,0.04
2013-06-19,0.05,0.05,0.05,0.05,4396700,0.05
2013-06-18,0.05,0.05,0.05,0.05,5290600,0.05
2013-06-17,0.05,0.05,0.05,0.05,3660200,0.05
2013-06-14,0.05,0.05,0.05,0.05,7653200,0.05
2013-06-13,0.05,0.06,0.05,0.05,12587900,0.05
2013-06-12,0.05,0.06,0.05,0.05,21429000,0.05
2013-06-11,0.05,0.05,0.04,0.05,5081600,0.05
2013-06-10,0.04,0.05,0.04,0.05,3961000,0.05
2013-06-07,0.04,0.04,0.04,0.04,3434200,0.04
2013-06-06,0.04,0.04,0.04,0.04,4872900,0.04
2013-06-05,0.04,0.04,0.04,0.04,3728600,0.04
2013-06-04,0.04,0.04,0.04,0.04,3772700,0.04
2013-06-03,0.04,0.05,0.04,0.04,2156100,0.04
2013-05-31,0.04,0.05,0.04,0.04,3720200,0.04
2013-05-30,0.04,0.04,0.04,0.04,2646600,0.04
2013-05-29,0.04,0.04,0.04,0.04,4606100,0.04
2013-05-28,0.04,0.04,0.04,0.04,6186800,0.04
2013-05-24,0.04,0.04,0.01,0.04,3988400,0.04
2013-05-23,0.04,0.04,0.04,0.04,3933800,0.04
2013-05-22,0.04,0.04,0.04,0.04,10142100,0.04
2013-05-21,0.04,0.05,0.04,0.04,9861700,0.04
2013-05-20,0.05,0.05,0.05,0.05,4981300,0.05
2013-05-17,0.05,0.05,0.05,0.05,3504200,0.05
2013-05-16,0.06,0.06,0.05,0.05,9101700,0.05
2013-05-15,0.05,0.06,0.05,0.05,21029300,0.05
2013-05-14,0.04,0.04,0.04,0.04,5863700,0.04
2013-05-13,0.04,0.04,0.04,0.04,3252400,0.04
2013-05-10,0.04,0.04,0.04,0.04,2831000,0.04
2013-05-09,0.04,0.04,0.04,0.04,3530700,0.04
2013-05-08,0.04,0.05,0.04,0.04,3313600,0.04
2013-05-07,0.04,0.05,0.04,0.04,3719700,0.04
2013-05-06,0.05,0.05,0.04,0.04,2922600,0.04
2013-05-03,0.05,0.05,0.04,0.05,3637400,0.05
2013-05-02,0.05,0.05,0.04,0.05,3999200,0.05
2013-05-01,0.05,0.05,0.04,0.05,6825400,0.05
2013-04-30,0.05,0.05,0.04,0.04,4202900,0.04
2013-04-29,0.04,0.05,0.04,0.05,5599700,0.05
2013-04-26,0.04,0.04,0.04,0.04,2684000,0.04
2013-04-25,0.04,0.04,0.04,0.04,2357500,0.04
2013-04-24,0.04,0.04,0.04,0.04,2703900,0.04
2013-04-23,0.04,0.04,0.04,0.04,4846000,0.04
2013-04-22,0.04,0.05,0.04,0.04,5900900,0.04
2013-04-19,0.05,0.05,0.04,0.04,5386400,0.04
2013-04-18,0.05,0.05,0.04,0.04,3710000,0.04
2013-04-17,0.05,0.05,0.05,0.05,3995900,0.05
2013-04-16,0.05,0.05,0.05,0.05,3356200,0.05
2013-04-15,0.05,0.05,0.05,0.05,4522700,0.05
2013-04-12,0.05,0.05,0.05,0.05,4753100,0.05
2013-04-11,0.05,0.05,0.05,0.05,4952900,0.05
2013-04-10,0.05,0.05,0.05,0.05,3721900,0.05
2013-04-09,0.05,0.05,0.05,0.05,7432900,0.05
2013-04-08,0.05,0.06,0.05,0.05,5453400,0.05
2013-04-05,0.06,0.06,0.05,0.05,6934700,0.05
2013-04-04,0.06,0.06,0.05,0.06,6442000,0.06
2013-04-03,0.06,0.06,0.05,0.05,7939700,0.05
2013-04-02,0.05,0.06,0.05,0.06,18212000,0.06
2013-04-01,0.04,0.05,0.04,0.05,2741700,0.05
2013-03-28,0.05,0.05,0.04,0.04,4123100,0.04
2013-03-27,0.05,0.05,0.04,0.05,8350700,0.05
2013-03-26,0.05,0.05,0.05,0.05,2768200,0.05
2013-03-25,0.05,0.05,0.05,0.05,1458200,0.05
2013-03-22,0.05,0.05,0.05,0.05,3504600,0.05
2013-03-21,0.05,0.05,0.05,0.05,2203800,0.05
2013-03-20,0.05,0.06,0.05,0.05,4521300,0.05
2013-03-19,0.06,0.06,0.05,0.05,5557100,0.05
2013-03-18,0.06,0.06,0.06,0.06,2056200,0.06
2013-03-15,0.06,0.06,0.06,0.06,3009500,0.06
2013-03-14,0.06,0.06,0.06,0.06,2562900,0.06
2013-03-13,0.06,0.06,0.06,0.06,3457800,0.06
2013-03-12,0.06,0.06,0.05,0.06,2963700,0.06
2013-03-11,0.06,0.06,0.05,0.06,3881800,0.06
2013-03-08,0.06,0.06,0.05,0.06,7295500,0.06
2013-03-07,0.06,0.06,0.06,0.06,4439200,0.06
2013-03-06,0.06,0.06,0.06,0.06,4248400,0.06
2013-03-05,0.07,0.07,0.06,0.06,5823400,0.06
2013-03-04,0.07,0.07,0.07,0.07,5666700,0.07
2013-03-01,0.08,0.08,0.07,0.07,6892200,0.07
2013-02-28,0.07,0.08,0.07,0.07,7164200,0.07
2013-02-27,0.07,0.07,0.07,0.07,2583900,0.07
2013-02-26,0.07,0.07,0.07,0.07,7201000,0.07
2013-02-25,0.07,0.07,0.06,0.07,10244500,0.07
2013-02-22,0.06,0.07,0.05,0.07,12123800,0.07
2013-02-21,0.07,0.07,0.06,0.06,10901900,0.06
2013-02-20,0.08,0.08,0.06,0.07,18646700,0.07
2013-02-19,0.09,0.09,0.08,0.08,12818200,0.08
2013-02-15,0.09,0.09,0.08,0.09,18638400,0.09
2013-02-14,0.10,0.11,0.09,0.09,14271600,0.09
2013-02-13,0.10,0.11,0.09,0.10,36525600,0.10
2013-02-12,0.07,0.10,0.07,0.09,27321700,0.09
2013-02-11,0.07,0.08,0.07,0.07,9062200,0.07
2013-02-08,0.08,0.09,0.07,0.08,19013000,0.08
2013-02-07,0.07,0.08,0.06,0.07,22514000,0.07
2013-02-06,0.09,0.09,0.07,0.07,22911000,0.07
2013-02-05,0.11,0.12,0.08,0.09,52162800,0.09
2013-02-04,0.07,0.10,0.07,0.09,53508900,0.09
2013-02-01,0.05,0.07,0.05,0.06,27565900,0.06
2013-01-31,0.04,0.05,0.04,0.05,13096600,0.05
2013-01-30,0.04,0.04,0.04,0.04,2409700,0.04
2013-01-29,0.04,0.04,0.04,0.04,837600,0.04
2013-01-28,0.04,0.04,0.04,0.04,2325300,0.04
2013-01-25,0.04,0.04,0.04,0.04,1406300,0.04
2013-01-24,0.04,0.04,0.04,0.04,1927100,0.04
2013-01-23,0.04,0.04,0.04,0.04,1328900,0.04
2013-01-22,0.04,0.04,0.04,0.04,1575900,0.04
2013-01-18,0.04,0.04,0.04,0.04,2302900,0.04
2013-01-17,0.04,0.04,0.04,0.04,925000,0.04
2013-01-16,0.04,0.04,0.04,0.04,1398100,0.04
2013-01-15,0.04,0.04,0.04,0.04,1128800,0.04
2013-01-14,0.04,0.04,0.04,0.04,1414200,0.04
2013-01-11,0.04,0.04,0.04,0.04,1427100,0.04
2013-01-10,0.04,0.04,0.04,0.04,5461500,0.04
2013-01-09,0.04,0.05,0.04,0.04,1355200,0.04
2013-01-08,0.04,0.05,0.04,0.04,2637200,0.04
2013-01-07,0.04,0.04,0.04,0.04,588100,0.04
2013-01-04,0.04,0.04,0.04,0.04,1102700,0.04
2013-01-03,0.04,0.04,0.04,0.04,2064900,0.04
2013-01-02,0.04,0.04,0.04,0.04,666100,0.04
