Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,1.20,1.24,1.18,1.23,660100,1.23
2013-12-30,1.21,1.22,1.17,1.20,351500,1.20
2013-12-27,1.21,1.22,1.18,1.20,481200,1.20
2013-12-26,1.17,1.22,1.16,1.20,592100,1.20
2013-12-24,1.17,1.21,1.15,1.16,162900,1.16
2013-12-23,1.21,1.28,1.10,1.17,906700,1.17
2013-12-20,1.10,1.24,1.09,1.21,1434500,1.21
2013-12-19,1.11,1.12,1.08,1.10,133800,1.10
2013-12-18,1.10,1.13,1.06,1.10,370000,1.10
2013-12-17,1.01,1.15,1.01,1.11,928300,1.11
2013-12-16,1.05,1.10,1.02,1.03,997300,1.03
2013-12-13,1.10,1.11,1.01,1.05,1203500,1.05
2013-12-12,1.15,1.16,1.06,1.09,1114400,1.09
2013-12-11,1.16,1.18,1.15,1.15,215600,1.15
2013-12-10,1.20,1.20,1.15,1.15,661400,1.15
2013-12-09,1.20,1.20,1.16,1.20,283100,1.20
2013-12-06,1.15,1.19,1.14,1.19,421600,1.19
2013-12-05,1.16,1.19,1.14,1.15,523600,1.15
2013-12-04,1.19,1.19,1.16,1.16,275600,1.16
2013-12-03,1.15,1.19,1.15,1.19,244700,1.19
2013-12-02,1.19,1.20,1.15,1.15,295400,1.15
2013-11-29,1.22,1.23,1.17,1.19,465500,1.19
2013-11-27,1.19,1.25,1.15,1.17,1604600,1.17
2013-11-26,1.16,1.20,1.13,1.20,719400,1.20
2013-11-25,1.20,1.21,1.15,1.15,454200,1.15
2013-11-22,1.18,1.22,1.15,1.19,651900,1.19
2013-11-21,1.15,1.21,1.13,1.19,909800,1.19
2013-11-20,1.17,1.22,1.13,1.13,568500,1.13
2013-11-19,1.22,1.25,1.14,1.15,856600,1.15
2013-11-18,1.17,1.25,1.16,1.22,682100,1.22
2013-11-15,1.08,1.27,1.08,1.16,1660100,1.16
2013-11-14,1.15,1.16,1.11,1.14,473400,1.14
2013-11-13,1.17,1.17,1.08,1.16,1690700,1.16
2013-11-12,1.14,1.19,1.14,1.15,777400,1.15
2013-11-11,1.19,1.20,1.17,1.18,400500,1.18
2013-11-08,1.20,1.23,1.16,1.20,946700,1.20
2013-11-07,1.26,1.29,1.20,1.20,1696400,1.20
2013-11-06,1.31,1.34,1.23,1.23,627400,1.23
2013-11-05,1.25,1.34,1.23,1.31,553400,1.31
2013-11-04,1.27,1.31,1.21,1.25,510600,1.25
2013-11-01,1.33,1.37,1.25,1.30,655400,1.30
2013-10-31,1.39,1.44,1.30,1.34,805800,1.34
2013-10-30,1.36,1.52,1.34,1.40,1381400,1.40
2013-10-29,1.25,1.44,1.22,1.36,1165400,1.36
2013-10-28,1.18,1.28,1.17,1.25,654600,1.25
2013-10-25,1.19,1.22,1.16,1.19,911600,1.19
2013-10-24,1.16,1.18,1.13,1.18,446800,1.18
2013-10-23,1.16,1.16,1.13,1.15,139600,1.15
2013-10-22,1.18,1.20,1.12,1.16,1443200,1.16
2013-10-21,1.21,1.23,1.16,1.18,658800,1.18
2013-10-18,1.18,1.20,1.14,1.18,693200,1.18
2013-10-17,1.12,1.18,1.10,1.18,785000,1.18
2013-10-16,1.17,1.18,1.11,1.12,666000,1.12
2013-10-15,1.20,1.20,1.14,1.15,401000,1.15
2013-10-14,1.16,1.21,1.12,1.19,514600,1.19
2013-10-11,1.18,1.20,1.12,1.16,559500,1.16
2013-10-10,1.04,1.19,1.04,1.15,1399700,1.15
2013-10-09,1.21,1.24,1.16,1.20,348100,1.20
2013-10-08,1.21,1.25,1.20,1.22,382700,1.22
2013-10-07,1.20,1.27,1.20,1.22,651800,1.22
2013-10-04,1.16,1.22,1.15,1.22,1544000,1.22
2013-10-03,1.20,1.22,1.15,1.17,907500,1.17
2013-10-02,1.25,1.26,1.19,1.19,569000,1.19
2013-10-01,1.30,1.31,1.24,1.25,335200,1.25
2013-09-30,1.30,1.33,1.28,1.30,615400,1.30
2013-09-27,1.30,1.33,1.30,1.31,705200,1.31
2013-09-26,1.27,1.27,1.23,1.27,1130100,1.27
2013-09-25,1.32,1.32,1.23,1.24,864300,1.24
