Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,0.95,1.01,0.95,1.01,198800,1.01
2012-12-28,0.98,0.99,0.94,0.96,279200,0.96
2012-12-27,0.97,0.99,0.96,0.99,138900,0.99
2012-12-26,0.95,0.99,0.95,0.97,81000,0.97
2012-12-24,0.94,0.97,0.94,0.95,21300,0.95
2012-12-21,0.96,0.98,0.94,0.95,74100,0.95
2012-12-20,0.94,1.00,0.92,0.98,227900,0.98
2012-12-19,0.93,0.95,0.90,0.94,406900,0.94
2012-12-18,0.93,0.96,0.93,0.95,109400,0.95
2012-12-17,0.95,0.96,0.92,0.92,158500,0.92
2012-12-14,0.94,0.97,0.93,0.97,58100,0.97
2012-12-13,1.00,1.01,0.95,0.95,155400,0.95
2012-12-12,1.00,1.01,0.99,1.00,341500,1.00
2012-12-11,0.94,0.99,0.93,0.99,136600,0.99
2012-12-10,0.98,0.98,0.94,0.95,143500,0.95
2012-12-07,1.02,1.02,0.97,0.98,65200,0.98
2012-12-06,1.04,1.04,1.00,1.01,193600,1.01
2012-12-05,1.00,1.03,0.93,1.02,203900,1.02
2012-12-04,0.99,1.00,0.97,0.99,67300,0.99
2012-12-03,0.99,1.00,0.97,0.99,100900,0.99
2012-11-30,1.00,1.01,0.98,0.98,171900,0.98
2012-11-29,1.03,1.09,1.00,1.02,573000,1.02
2012-11-28,1.02,1.04,0.97,1.02,420200,1.02
2012-11-27,0.95,1.00,0.93,0.99,401900,0.99
2012-11-26,0.93,0.96,0.90,0.93,110100,0.93
2012-11-23,0.92,0.93,0.91,0.92,96300,0.92
2012-11-21,0.91,0.92,0.89,0.90,131000,0.90
2012-11-20,0.93,0.95,0.90,0.90,309900,0.90
2012-11-19,0.94,0.95,0.88,0.92,208700,0.92
2012-11-16,0.88,0.92,0.83,0.88,394000,0.88
2012-11-15,0.90,0.91,0.85,0.88,368100,0.88
2012-11-14,0.94,0.95,0.86,0.91,975200,0.91
2012-11-13,1.00,1.00,0.94,0.96,555800,0.96
2012-11-12,1.03,1.04,1.00,1.00,205600,1.00
2012-11-09,1.03,1.06,1.01,1.03,239800,1.03
2012-11-08,1.07,1.08,1.03,1.03,256100,1.03
2012-11-07,1.08,1.09,1.05,1.07,258800,1.07
2012-11-06,1.10,1.11,1.05,1.09,291900,1.09
2012-11-05,1.05,1.15,1.04,1.08,705100,1.08
2012-11-02,1.08,1.08,1.02,1.05,350000,1.05
2012-11-01,1.07,1.10,1.05,1.07,340800,1.07
2012-10-31,1.12,1.12,1.04,1.06,290100,1.06
2012-10-26,1.13,1.18,1.10,1.10,258900,1.10
2012-10-25,1.12,1.14,1.09,1.13,274100,1.13
2012-10-24,1.12,1.15,1.09,1.10,213400,1.10
2012-10-23,1.10,1.14,1.06,1.10,292500,1.10
2012-10-22,1.06,1.14,1.05,1.10,532600,1.10
2012-10-19,1.26,1.27,1.00,1.06,3323500,1.06
2012-10-18,1.25,1.34,1.25,1.26,624100,1.26
2012-10-17,1.30,1.32,1.22,1.25,396500,1.25
2012-10-16,1.31,1.33,1.28,1.31,280100,1.31
2012-10-15,1.32,1.35,1.28,1.29,184500,1.29
2012-10-12,1.31,1.37,1.31,1.34,316900,1.34
2012-10-11,1.27,1.35,1.26,1.29,164900,1.29
2012-10-10,1.32,1.33,1.26,1.27,244800,1.27
2012-10-09,1.36,1.40,1.30,1.30,471700,1.30
2012-10-08,1.28,1.35,1.21,1.33,486000,1.33
2012-10-05,1.42,1.43,1.30,1.30,387600,1.30
2012-10-04,1.36,1.45,1.30,1.42,811200,1.42
2012-10-03,1.49,1.51,1.30,1.33,1146700,1.33
2012-10-02,1.52,1.52,1.46,1.50,305100,1.50
2012-10-01,1.58,1.61,1.44,1.49,708600,1.49
2012-09-28,1.66,1.66,1.53,1.54,650300,1.54
2012-09-27,1.60,1.70,1.60,1.66,791700,1.66
2012-09-26,1.55,1.60,1.50,1.60,628400,1.60
2012-09-25,1.54,1.65,1.54,1.57,1183300,1.57
2012-09-24,1.47,1.60,1.44,1.51,950000,1.51
2012-09-21,1.45,1.49,1.43,1.43,823900,1.43
2012-09-20,1.36,1.44,1.35,1.44,465100,1.44
2012-09-19,1.36,1.42,1.35,1.37,633000,1.37
2012-09-18,1.37,1.40,1.34,1.38,423400,1.38
2012-09-17,1.41,1.42,1.33,1.40,401800,1.40
2012-09-14,1.45,1.46,1.37,1.39,904700,1.39
2012-09-13,1.40,1.45,1.36,1.44,919900,1.44
2012-09-12,1.30,1.50,1.30,1.41,2237000,1.41
2012-09-11,1.23,1.29,1.22,1.29,1299200,1.29
2012-09-10,1.16,1.24,1.14,1.22,1379700,1.22
2012-09-07,1.20,1.20,1.13,1.14,383200,1.14
2012-09-06,1.12,1.20,1.10,1.18,973800,1.18
2012-09-05,1.09,1.14,1.07,1.12,880400,1.12
